1781377617.6746795,33.2,194
1781377619.6824174,23.9,232
1781377621.693248,20.87,619
1781377623.6932979,30.11,384
1781377625.6982186,31.9,751
1781377627.704214,28.46,808
1781377629.7101727,24.36,464
1781377631.7205267,22.55,316
1781377633.7321901,20.52,516
1781377635.7397544,22.2,727
1781377637.7490149,26.36,402
1781377639.764297,34.58,291
1781377641.7725966,26.08,187
1781377643.7793956,21.39,743
1781377645.7891738,34.58,311
1781377647.799066,26.12,836
1781377649.7997015,27.32,769
1781377651.8087158,29.36,228
1781377653.8159306,26.29,527
1781377655.816104,23.62,193
1781377657.827509,34.95,931
1781377659.8412647,32.45,429
1781377661.8460546,29.86,572
1781377663.8510945,29.16,898
1781377665.8617954,30.9,107
1781377667.876349,33.11,867
1781377669.888621,25.83,244
1781377671.6440296,33.78,692
1781377673.6525755,31.79,233
1781377675.6626368,34.46,447
1781377677.6670458,34.98,947
1781377679.6681268,28.29,658
1781377681.6807535,30.92,975
1781377683.6918857,21.23,585
1781377685.6983833,20.77,629
1781377687.71235,22.3,935
1781377689.7145116,24.34,444
1781377691.7241116,31.13,335
